NumAgents,SimulationTime,MaxWaitTime,Lambda,AverageCallTime,TotalCalls,AbandonedCalls,Utilization
7,1440,15,1.5,5,5014,2813,100.56
4,1440,10,1.5,3,5148,2818,100.03
9,1440,10,1.5,7,4933,2900,100.46
10,1440,15,1.5,7,5273,2944,100.51
6,1440,10,1.5,5,4963,2972,100.08
9,1440,15,1.5,7,5079,2978,100.29
3,1440,15,1.5,3,4816,3046,100.05
6,1440,15,1.5,5,5057,3108,100
10,1440,10,1.5,9,4831,3173,100.37
8,1440,15,1.5,7,4940,3187,100.37
10,1440,5,1.5,9,4855,3202,100.53
6,1440,5,1.5,5,5151,3231,99.95
5,1440,10,1.5,5,4865,3315,100.04
8,1440,10,1.5,7,5104,3319,100.48
9,1440,15,1.5,9,5034,3344,100.69
9,1440,5,1.5,9,4933,3365,99.86
3,1440,5,1.5,3,5150,3368,99.84
10,1440,15,1.5,9,5200,3400,100.17
7,1440,15,1.5,7,5071,3430,100.48
8,1440,5,1.5,7,5273,3464,99.9
8,1440,10,1.5,9,4784,3468,100.74
5,1440,15,1.5,5,5114,3485,100.07
7,1440,5,1.5,7,5089,3497,99.89
7,1440,10,1.5,7,5013,3510,100.21
3,1440,10,1.5,3,5169,3513,100.09
6,1440,5,1.5,7,4878,3535,100.17
4,1440,15,1.5,5,4818,3571,100.24
10,1440,10,2,3,9386,3586,100
6,1440,10,1.5,7,4976,3601,100.38
5,1440,5,1.5,5,5187,3612,100.28
8,1440,15,1.5,9,5081,3613,100.34
8,1440,5,1.5,9,4998,3617,100.35
4,1440,10,1.5,5,4906,3653,100.28
6,1440,10,1.5,9,4717,3656,100.44
7,1440,5,1.5,9,4872,3668,100.08
9,1440,10,1.5,9,5184,3710,100.34
10,1440,5,2,3,9388,3722,99.71
7,1440,15,1.5,9,4955,3724,100.32
6,1440,5,1.5,9,4780,3764,100.36
2,1440,15,1.5,3,5020,3797,100.24
10,1440,15,2,3,9490,3798,100.09
5,1440,5,1.5,7,4947,3804,100.76
5,1440,15,1.5,7,4992,3828,100.51
6,1440,15,1.5,7,5306,3847,100.12
4,1440,5,1.5,5,5181,3857,99.84
6,1440,15,1.5,9,4977,3868,100.41
2,1440,10,1.5,3,5028,3882,100.31
2,1440,5,1.5,3,5003,3888,100.49
